ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
3734,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/17/2005,5,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3735,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/17/2005,5,NA,NA,0.13,20,NA,NA,NA,NA,NA
3736,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/17/2005,5,NA,NA,0.19,38.9,NA,NA,NA,NA,NA
3737,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/17/2005,5,NA,NA,0.07,24.8,NA,NA,NA,NA,NA
3738,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/17/2005,5,NA,NA,0.21,61,NA,NA,NA,NA,NA
3739,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/17/2005,5,NA,NA,0.34,47.7,NA,NA,NA,NA,NA
3740,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,5/17/2005,5,NA,NA,0.24,45.4,NA,NA,NA,NA,NA
3741,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/17/2005,5,NA,NA,0.17,38.4,NA,NA,NA,NA,NA
3742,R20,Verde River at Tangle,verde,verde abv horseshoe,5/17/2005,5,NA,NA,0.05,27.6,NA,NA,NA,NA,NA
3743,Havasu 1,Havasu lake Sample,NA,Havasu 1,5/17/2005,5,NA,NA,0.16,19.6,NA,NA,NA,NA,NA
3744,Havasu 2,Havasu lake Sample,NA,Havasu 2,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3745,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3746,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/17/2005,5,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3747,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/17/2005,5,NA,NA,0.15,NA,NA,NA,NA,NA,NA
3748,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/17/2005,5,NA,NA,0.15,NA,NA,NA,NA,NA,NA
3749,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/17/2005,5,NA,NA,0.15,66.4,NA,NA,NA,NA,NA
3750,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3751,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3752,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3753,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3754,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3755,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3756,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3757,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/17/2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3218,R3,Waddell Canal,cap,waddell canal,6/21/2004,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/21/2004,6,NA,NA,0.44,4.4,NA,NA,NA,NA,NA
3220,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/21/2004,6,NA,NA,0.33,NA,NA,NA,NA,NA,NA
3221,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/21/2004,6,NA,NA,0.33,4.5,NA,NA,NA,NA,NA
3222,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/21/2004,6,NA,NA,0.36,NA,NA,NA,NA,NA,NA
3223,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/21/2004,6,NA,NA,0.39,13.6,NA,NA,NA,NA,NA
3224,R19,Val Vista WTP treated water,srp,val vista-treated,6/21/2004,6,NA,NA,0.32,NA,NA,NA,NA,NA,NA
3225,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/21/2004,6,NA,NA,0.49,17.8,NA,NA,NA,NA,NA
3226,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/21/2004,6,NA,NA,1.43,20.7,NA,NA,NA,NA,NA
3227,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/21/2004,6,NA,NA,1.23,NA,NA,NA,NA,NA,NA
3228,R25,verde river at beeline highway,verde,verde @ beeline,6/21/2004,6,NA,NA,0.14,10.1,NA,NA,NA,NA,NA
3229,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/21/2004,6,NA,NA,0.4,26.4,NA,NA,NA,NA,NA
3230,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/21/2004,6,NA,NA,0.31,19.2,NA,NA,NA,NA,NA
3231,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/21/2004,6,NA,NA,0.31,16.9,NA,NA,NA,NA,NA
3232,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/21/2004,6,NA,NA,0.35,NA,NA,NA,NA,NA,NA
3233,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/21/2004,6,NA,NA,0.24,NA,NA,NA,NA,NA,NA
3234,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/21/2004,6,NA,NA,0.35,12.3,NA,NA,NA,NA,NA
3235,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/21/2004,6,NA,NA,0.31,NA,NA,NA,NA,NA,NA
3236,Green In,Greenway WTP Inlet,srp,Green In,6/21/2004,6,NA,NA,0.32,18,NA,NA,NA,NA,NA
3237,Green Out,Greenway WTP Outlet,srp,Green Out,6/21/2004,6,NA,NA,0.4,NA,NA,NA,NA,NA,NA
3238,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/21/2004,6,NA,NA,0.42,17,NA,NA,NA,NA,NA
3239,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/21/2004,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3240,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/21/2004,6,NA,NA,0.22,NA,NA,NA,NA,NA,NA
3241,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/21/2004,6,NA,NA,0.24,NA,NA,NA,NA,NA,NA
3242,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/21/2004,6,NA,NA,0.31,11.9,NA,NA,NA,NA,NA
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8,NA,0.3,0.26,4.07,7.01,NA,NA,NA,NA
2,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,8,NA,0.23,0.24,5.5,1.8,NA,NA,NA,NA
3,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,8,NA,0.31,0.33,2.05,0,NA,NA,NA,NA
4,R3,Waddell Canal,cap,waddell canal,8/18/1999,8,NA,0.38,0.37,9.45,3.06,NA,NA,NA,NA
5,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8,NA,0.34,0.34,5.58,0,NA,NA,NA,NA
6,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8,NA,0.55,0.44,39.22,15.93,NA,NA,NA,NA
7,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,8,NA,0.2,0.17,9.45,2.64,NA,NA,NA,NA
8,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,8,NA,0.27,0.32,31.58,22.92,NA,NA,NA,NA
9,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,8,NA,0.28,0.28,34.34,22.16,NA,NA,NA,NA
10,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,8,NA,0.23,0.23,28.46,15.76,NA,NA,NA,NA
11,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,8,NA,0.26,0.21,12.82,0,NA,NA,NA,NA
12,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,8,NA,0.34,0.26,42.42,25.6,NA,NA,NA,NA
13,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,8,NA,0.2,0.2,24.26,17.26,NA,NA,NA,NA
14,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,8,NA,0.35,0.35,1.46,0,NA,NA,NA,NA
15,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/1999,8,NA,0.19,0.21,27.96,33.6,NA,NA,NA,NA
16,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/1999,8,NA,0.25,0.22,19.46,18.87,NA,NA,NA,NA
17,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/18/1999,8,NA,0.24,0.22,9.54,11.47,NA,NA,NA,NA
18,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/18/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/1999,8,NA,0.26,0.24,22.74,7.77,NA,NA,NA,NA
20,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/18/1999,8,NA,0.29,0.23,16.6,33.26,NA,NA,NA,NA
22,R19,Val Vista WTP treated water,srp,val vista-treated,8/18/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,field_blank,field blank,NA,field blank,8/18/1999,8,field blank,NA,NA,NA,NA,NA,NA,NA,NA
24,lab_blank,laboratory blank,NA,NA,8/18/1999,8,lab blank,-0.00357,NA,0.44,NA,NA,NA,NA,NA
25,R20,Verde River at Tangle,verde,verde abv horseshoe,8/25/1999,8,NA,0.16,0.1,15.59,6.26,NA,NA,NA,NA
26,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/16/1999,9,NA,0.26,0.23,0,10.04,NA,NA,NA,NA
27,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/16/1999,9,NA,0.31,0.26,15.42,10.63,NA,NA,NA,NA
28,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/16/1999,9,NA,0.32,0.31,39.74,0,NA,NA,NA,NA
29,R3,Waddell Canal,cap,waddell canal,9/16/1999,9,NA,0.36,0.33,9.62,8.95,NA,NA,NA,NA
30,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/16/1999,9,NA,0.34,0.32,0,3.48,NA,NA,NA,NA
31,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/14/1999,9,NA,0.5,0.37,43.02,26.94,NA,NA,NA,NA
32,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/14/1999,9,NA,0.22,0.2,6.43,1.88,NA,NA,NA,NA
33,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/14/1999,9,NA,0.37,0.34,30.32,42.08,NA,NA,NA,NA
327,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,8/16/2000,8,field duplicate,0.33,0.24,10,5.8,NA,NA,NA,NA
328,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/16/2000,8,NA,0.22,0.23,15.8,14,NA,NA,NA,NA
329,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/16/2000,8,NA,0.28,0.22,17,13.2,NA,NA,NA,NA
330,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/16/2000,8,NA,0.29,0.25,8.4,4.4,NA,NA,NA,NA
331,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/16/2000,8,NA,0.27,0.24,17.4,12,NA,NA,NA,NA
332,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/16/2000,8,NA,0.26,0.29,11.4,9.4,NA,NA,NA,NA
333,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/17/2000,8,NA,0.29,0.26,12,7.8,NA,NA,NA,NA
334,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/17/2000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/2000,8,NA,0.29,0.28,11.6,6,NA,NA,NA,NA
336,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/2000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/17/2000,8,NA,0.26,0.31,11.4,6.6,NA,NA,NA,NA
338,R19,Val Vista WTP treated water,srp,val vista-treated,8/17/2000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,field_blank,field blank,NA,field blank,8/17/2000,8,field blank,0.03,0.02,4.4,3,NA,NA,NA,high blanks for P
340,lab_blank,laboratory blank,NA,NA,8/17/2000,8,lab blank,0.01,NA,2,NA,NA,NA,NA,high blanks for P
341,R20,Verde River at Tangle,verde,verde abv horseshoe,8/30/2000,8,NA,0.67,0.4,80.2,7.4,NA,NA,NA,subtracted lab blank for P
342,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/12/2000,9,NA,0.29,0.26,4.4,18,NA,NA,NA,subtracted lab blank for P
34,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/14/1999,9,NA,0.39,0.36,40.24,30.22,NA,NA,NA,NA
35,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/15/1999,9,NA,0.33,0.28,17.86,16.77,NA,NA,NA,NA
36,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/15/1999,9,NA,0.31,0.28,6.01,0,NA,NA,NA,NA
37,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/15/1999,9,NA,0.44,0.31,13.91,2.39,NA,NA,NA,NA
38,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/15/1999,9,NA,0.2,0.21,25.6,12.9,NA,NA,NA,NA
39,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/15/1999,9,NA,0.33,0.33,0,0,NA,NA,NA,NA
40,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/15/1999,9,NA,0.3,0.2,28.04,9.87,NA,NA,NA,NA
41,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/15/1999,9,NA,0.27,0.21,15.84,19.38,NA,NA,NA,NA
42,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/16/1999,9,NA,0.28,0.25,32.34,15.17,NA,NA,NA,NA
43,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/16/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/16/1999,9,NA,0.32,0.22,29.48,4.83,NA,NA,NA,NA
45,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/16/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/15/1999,9,NA,0.29,0.23,14.41,5.58,NA,NA,NA,NA
47,R19,Val Vista WTP treated water,srp,val vista-treated,9/15/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,field_blank,field blank,NA,field blank,9/15/1999,9,field blank,NA,NA,NA,NA,NA,NA,NA,NA
49,lab_blank,laboratory blank,NA,NA,9/15/1999,9,lab blank,0.03,NA,0.44,NA,NA,NA,NA,NA
50,R20,Verde River at Tangle,verde,verde abv horseshoe,9/29/1999,9,NA,0.63,0.38,154,28.2,NA,NA,NA,NA
51,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/12/1999,10,NA,0.31,0.27,0,0,NA,NA,NA,NA
52,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/12/1999,10,NA,0.33,0.28,3.21,0,NA,NA,NA,NA
53,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/12/1999,10,NA,0.33,0.25,9.39,0,NA,NA,NA,NA
54,R3,Waddell Canal,cap,waddell canal,10/12/1999,10,NA,0.32,0.27,6.5,0,NA,NA,NA,NA
55,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/12/1999,10,NA,0.27,0.25,0,0,NA,NA,NA,NA
56,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/14/1999,10,NA,0.44,0.31,53.74,20.58,NA,NA,NA,NA
57,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/14/1999,10,NA,0.32,0.22,27.46,4.67,NA,NA,NA,NA
58,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/14/1999,10,NA,0.28,0.22,15.39,2.46,NA,NA,NA,NA
59,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/14/1999,10,NA,0.4,0.33,40.08,22.98,NA,NA,NA,NA
60,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/14/1999,10,NA,0.26,0.22,23.14,13.54,NA,NA,NA,NA
61,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/14/1999,10,NA,0.27,0.23,9.65,6.2,NA,NA,NA,NA
62,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/14/1999,10,NA,0.35,0.28,17.57,10.27,NA,NA,NA,NA
63,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/14/1999,10,NA,0.27,0.25,20.1,13.73,NA,NA,NA,NA
64,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/13/1999,10,NA,0.28,0.27,0,0,NA,NA,NA,NA
65,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/13/1999,10,NA,0.31,0.25,44,22.22,NA,NA,NA,NA
66,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/13/1999,10,NA,0.32,0.23,28.92,8.99,NA,NA,NA,NA
67,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/13/1999,10,NA,0.37,0.26,48.56,10.17,NA,NA,NA,NA
68,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,SP-WR,Squaw Peak WTP wash return,NA,NA,10/13/1999,10,extra sample,2,0.25,0,0,NA,NA,NA,NA
70,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/13/1999,10,NA,0.39,0.34,28.84,5.74,NA,NA,NA,NA
71,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,DV-WR,Deer Valley WTP wash return,NA,NA,10/13/1999,10,extra sample,2.48,0.42,0,0,NA,NA,NA,NA
73,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/13/1999,10,NA,0.27,0.22,16.78,5.22,NA,NA,NA,NA
74,R19,Val Vista WTP treated water,srp,val vista-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,field_blank,field blank,NA,field blank,10/13/1999,10,field blank,NA,NA,NA,NA,NA,NA,NA,NA
76,lab_blank,laboratory blank,NA,NA,10/13/1999,10,lab blank,0.02,NA,1.58,NA,NA,NA,NA,NA
77,R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/1999,10,NA,0.2,0.18,29.26,4.72,NA,NA,NA,NA
78,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/16/1999,11,NA,0.45,0.36,15.1,3.38,NA,NA,NA,NA
79,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/16/1999,11,NA,0.28,0.27,8.12,5.11,NA,NA,NA,NA
80,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/16/1999,11,NA,0.34,0.29,12.77,8.22,NA,NA,NA,NA
81,R3,Waddell Canal,cap,waddell canal,11/16/1999,11,NA,0.42,0.37,6.4,3.02,NA,NA,NA,NA
82,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/17/1999,11,NA,0.42,0.36,7.1,2.74,NA,NA,NA,NA
83,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/16/1999,11,NA,0.36,0.29,34.54,10.48,NA,NA,NA,NA
84,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/16/1999,11,NA,0.34,0.31,34.64,19.66,NA,NA,NA,NA
85,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/16/1999,11,NA,0.36,0.27,62.58,15.98,NA,NA,NA,NA
86,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/16/1999,11,NA,0.36,0.33,32.14,12.79,NA,NA,NA,NA
87,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/1999,11,NA,0.34,0.36,25.92,19.63,NA,NA,NA,NA
88,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/1999,11,NA,0.34,0.33,18.37,9.85,NA,NA,NA,NA
89,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/1999,11,NA,0.31,0.27,19.78,9.64,NA,NA,NA,NA
90,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/1999,11,NA,0.35,0.28,13.45,10.84,NA,NA,NA,NA
91,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/1999,11,NA,0.44,0.4,40.28,32.42,NA,NA,NA,NA
92,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/1999,11,NA,0.29,0.29,31.76,14.91,NA,NA,NA,NA
93,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/1999,11,NA,0.36,0.28,44.2,14.5,NA,NA,NA,NA
94,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/17/1999,11,NA,0.31,0.28,33.12,15.82,NA,NA,NA,NA
95,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/17/1999,11,NA,0.46,0.33,50.64,18.01,NA,NA,NA,NA
97,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut-down
99,R19,Val Vista WTP treated water,srp,val vista-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,field_blank,field blank,NA,field blank,11/17/1999,11,field blank,NA,NA,NA,NA,NA,NA,NA,NA
101,lab_blank,laboratory blank,NA,NA,11/17/1999,11,lab blank,0.05,NA,1.69,NA,NA,NA,NA,NA
102,R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/1999,11,NA,0.08,0.08,5.8,4.4,NA,NA,NA,NA
103,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/15/1999,12,NA,NA,NA,5.3,3.6,NA,NA,NA,sample preservation error
104,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/15/1999,12,NA,0.28,0.26,6.6,5.7,NA,NA,NA,NA
105,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/15/1999,12,NA,0.28,0.28,8.8,5.8,NA,NA,NA,NA
106,R3,Waddell Canal,cap,waddell canal,12/15/1999,12,NA,NA,NA,5.2,4.1,NA,NA,NA,sample preservation error
107,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/16/1999,12,NA,0.39,0.38,5.5,3.3,NA,NA,NA,NA
108,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/15/1999,12,NA,0.23,0.12,31.3,7.1,NA,NA,NA,NA
109,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/15/1999,12,NA,0.31,0.24,32.6,19.2,NA,NA,NA,NA
110,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/15/1999,12,NA,NA,NA,160.6,17,NA,NA,NA,sample preservation error
111,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/15/1999,12,NA,0.35,0.26,36,15,NA,NA,NA,NA
112,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/14/1999,12,NA,NA,NA,24.2,22.6,NA,NA,NA,sample preservation error
113,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/14/1999,12,NA,NA,NA,72.6,13.4,NA,NA,NA,sample preservation error
114,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/14/1999,12,NA,NA,NA,0,10.7,NA,NA,NA,sample preservation error
115,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/14/1999,12,NA,NA,NA,6.6,NA,NA,NA,NA,sample preservation error
116,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/14/1999,12,NA,NA,NA,20,12.4,NA,NA,NA,sample preservation error
117,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/14/1999,12,NA,NA,NA,31.1,13.3,NA,NA,NA,sample preservation error
118,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/14/1999,12,NA,NA,NA,27.8,11.8,NA,NA,NA,sample preservation error
119,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/16/1999,12,NA,0.42,0.4,21,10.2,NA,NA,NA,NA
120,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,sample preservation error
121,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/16/1999,12,NA,0.31,0.43,14,9,NA,NA,NA,NA
122,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,sample preservation error
123,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut down
124,R19,Val Vista WTP treated water,srp,val vista-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,val vista wtp shut down
125,field_blank,field blank,NA,field blank,12/16/1999,12,field blank,NA,NA,NA,NA,NA,NA,NA,NA
126,lab_blank,laboratory blank,NA,NA,12/16/1999,12,lab blank,0.0053,NA,2.7,NA,NA,NA,NA,NA
127,R20,Verde River at Tangle,verde,verde abv horseshoe,12/30/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,no sample taken
128,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/12/2000,1,NA,0.39,0.38,12.24,0,NA,NA,NA,NA
129,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/12/2000,1,NA,0.27,0.22,13.01,0,NA,NA,NA,NA
400,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/18/2000,10,NA,0.33,0.28,27.6,21.8,NA,NA,NA,NA
401,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2000,10,NA,0.26,0.23,18.2,15,NA,NA,NA,NA
402,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/18/2000,10,NA,0.25,0.2,9.4,17.6,NA,NA,NA,NA
403,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/18/2000,10,NA,0.32,0.27,44.4,34.4,NA,NA,NA,NA
