ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,Conductance,ChlA,Phaeophytin,PhaeophytinChlA,Chlorophyta,Cyanophyta,Bacillariophyta,Total,AlgaeComments
914,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/15/2002,5,NA,430,NA,NA,NA,NA,NA,NA,NA,NA
915,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/15/2002,5,NA,352,NA,NA,NA,NA,NA,NA,NA,NA
916,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/15/2002,5,NA,348,NA,NA,NA,NA,NA,NA,NA,NA
917,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/15/2002,5,NA,345,NA,NA,NA,NA,NA,NA,NA,NA
918,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/15/2002,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
919,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/15/2002,5,NA,1177,NA,NA,NA,NA,NA,NA,NA,NA
920,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,5/15/2002,5,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA
921,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/15/2002,5,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA
922,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/15/2002,5,NA,1155,NA,NA,NA,NA,NA,NA,NA,NA
923,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/15/2002,5,NA,580,NA,NA,NA,NA,NA,NA,NA,NA
924,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/15/2002,5,NA,1103,NA,NA,NA,NA,NA,NA,NA,NA
925,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/15/2002,5,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
926,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/15/2002,5,NA,936,NA,NA,NA,NA,NA,NA,NA,NA
927,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/15/2002,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/15/2002,5,NA,945,NA,NA,NA,NA,NA,NA,NA,NA
929,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/15/2002,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/15/2002,5,NA,889,NA,NA,NA,NA,NA,NA,NA,NA
931,R19,Val Vista WTP treated water,srp,val vista-treated,5/15/2002,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,R20,Verde River at Tangle,verde,verde abv horseshoe,5/30/2002,5,NA,460,NA,NA,NA,NA,NA,NA,NA,NA
935,R25,verde river at beeline highway,verde,verde @ beeline,5/15/2002,5,NA,348,NA,NA,NA,NA,NA,NA,NA,NA
936,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,5/15/2002,5,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
937,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/15/2002,6,NA,638,NA,NA,NA,NA,NA,NA,NA,NA
938,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/15/2002,6,NA,642,NA,NA,NA,NA,NA,NA,NA,NA
939,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/15/2002,6,NA,633,NA,NA,NA,NA,NA,NA,NA,NA
940,R3,Waddell Canal,cap,waddell canal,6/15/2002,6,NA,640,NA,NA,NA,NA,NA,NA,NA,NA
941,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2002,6,NA,648,NA,NA,NA,NA,NA,NA,NA,NA
942,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2002,6,NA,650,NA,NA,NA,NA,NA,NA,NA,NA
943,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/15/2002,6,NA,498,NA,NA,NA,NA,NA,NA,NA,NA
944,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/15/2002,6,NA,399,NA,NA,NA,NA,NA,NA,NA,NA
945,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/15/2002,6,NA,397,NA,NA,NA,NA,NA,NA,NA,NA
946,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/15/2002,6,NA,410,NA,NA,NA,NA,NA,NA,NA,NA
947,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/15/2002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/15/2002,6,NA,1435,NA,NA,NA,NA,NA,NA,NA,NA
949,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,6/15/2002,6,NA,1480,NA,NA,NA,NA,NA,NA,NA,NA
950,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/15/2002,6,NA,1478,NA,NA,NA,NA,NA,NA,NA,NA
951,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/15/2002,6,NA,1499,NA,NA,NA,NA,NA,NA,NA,NA
952,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/15/2002,6,NA,751,NA,NA,NA,NA,NA,NA,NA,NA
953,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/15/2002,6,NA,1403,NA,NA,NA,NA,NA,NA,NA,NA
954,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/15/2002,6,NA,1345,NA,NA,NA,NA,NA,NA,NA,NA
955,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/15/2002,6,NA,1031,NA,NA,NA,NA,NA,NA,NA,NA
956,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/15/2002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
957,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/15/2002,6,NA,1028,NA,NA,NA,NA,NA,NA,NA,NA
958,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/15/2002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/15/2002,6,NA,1026,NA,NA,NA,NA,NA,NA,NA,NA
960,R19,Val Vista WTP treated water,srp,val vista-treated,6/15/2002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
963,R20,Verde River at Tangle,verde,verde abv horseshoe,6/30/2002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,R25,verde river at beeline highway,verde,verde @ beeline,6/15/2002,6,NA,519,NA,NA,NA,NA,NA,NA,NA,NA
965,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,6/15/2002,6,NA,1045,NA,NA,NA,NA,NA,NA,NA,NA
966,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/8/2002,7,NA,974,NA,NA,NA,NA,NA,NA,NA,NA
967,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/1/2002,7,NA,980,NA,NA,NA,NA,NA,NA,NA,NA
968,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/1/2002,7,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
969,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/1/2002,7,NA,1763,NA,NA,NA,NA,NA,NA,NA,NA
970,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/1/2002,7,NA,1736,NA,NA,NA,NA,NA,NA,NA,NA
971,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/1/2002,7,NA,1627,NA,NA,NA,NA,NA,NA,NA,NA
972,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/1/2002,7,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA
973,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/1/2002,7,NA,1633,NA,NA,NA,NA,NA,NA,NA,NA
974,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/1/2002,7,NA,1599,NA,NA,NA,NA,NA,NA,NA,NA
975,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/1/2002,7,NA,1606,NA,NA,NA,NA,NA,NA,NA,NA
976,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/1/2002,7,NA,1518,NA,NA,NA,NA,NA,NA,NA,NA
977,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/1/2002,7,NA,1529,NA,NA,NA,NA,NA,NA,NA,NA
978,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,7/1/2002,7,NA,1512,NA,NA,NA,NA,NA,NA,NA,NA
979,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/1/2002,7,NA,1511,NA,NA,NA,NA,NA,NA,NA,NA
980,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,7/1/2002,7,NA,1514,NA,NA,NA,NA,NA,NA,NA,NA
981,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/1/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/1/2002,7,NA,1571,NA,NA,NA,NA,NA,NA,NA,NA
983,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/1/2002,7,NA,1580,NA,NA,NA,NA,NA,NA,NA,NA
984,R19,Val Vista WTP treated water,srp,val vista-treated,7/1/2002,7,NA,1580,NA,NA,NA,NA,NA,NA,NA,NA
985,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/1/2002,7,NA,1616,NA,NA,NA,NA,NA,NA,NA,NA
986,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/1/2002,7,NA,1627,NA,NA,NA,NA,NA,NA,NA,NA
987,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/1/2002,7,NA,1470,NA,NA,NA,NA,NA,NA,NA,NA
988,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/1/2002,7,NA,1460,NA,NA,NA,NA,NA,NA,NA,NA
989,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/1/2002,7,NA,1453,NA,NA,NA,NA,NA,NA,NA,NA
990,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/8/2002,7,NA,981,NA,NA,NA,NA,NA,NA,NA,NA
991,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/8/2002,7,NA,980,NA,NA,NA,NA,NA,NA,NA,NA
992,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/8/2002,7,NA,975,NA,NA,NA,NA,NA,NA,NA,NA
993,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/8/2002,7,NA,1748,NA,NA,NA,NA,NA,NA,NA,NA
994,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/8/2002,7,NA,1420,NA,NA,NA,NA,NA,NA,NA,NA
995,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/8/2002,7,NA,1481,NA,NA,NA,NA,NA,NA,NA,NA
996,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/8/2002,7,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA
997,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/8/2002,7,NA,1540,NA,NA,NA,NA,NA,NA,NA,NA
998,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/8/2002,7,NA,1543,NA,NA,NA,NA,NA,NA,NA,NA
999,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/8/2002,7,NA,1538,NA,NA,NA,NA,NA,NA,NA,NA
1000,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/8/2002,7,NA,1520,NA,NA,NA,NA,NA,NA,NA,NA
1001,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/8/2002,7,NA,1544,NA,NA,NA,NA,NA,NA,NA,NA
1002,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,7/8/2002,7,NA,1534,NA,NA,NA,NA,NA,NA,NA,NA
1003,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/8/2002,7,NA,1537,NA,NA,NA,NA,NA,NA,NA,NA
1004,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,7/8/2002,7,NA,1532,NA,NA,NA,NA,NA,NA,NA,NA
1005,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/8/2002,7,NA,1546,NA,NA,NA,NA,NA,NA,NA,NA
1006,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/8/2002,7,NA,1543,NA,NA,NA,NA,NA,NA,NA,NA
1007,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/8/2002,7,NA,1431,NA,NA,NA,NA,NA,NA,NA,NA
1008,R19,Val Vista WTP treated water,srp,val vista-treated,7/8/2002,7,NA,1434,NA,NA,NA,NA,NA,NA,NA,NA
1009,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/8/2002,7,NA,1530,NA,NA,NA,NA,NA,NA,NA,NA
1010,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/8/2002,7,NA,1540,NA,NA,NA,NA,NA,NA,NA,NA
1011,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/8/2002,7,NA,1360,NA,NA,NA,NA,NA,NA,NA,NA
1012,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/8/2002,7,NA,1315,NA,NA,NA,NA,NA,NA,NA,NA
1013,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/8/2002,7,NA,1352,NA,NA,NA,NA,NA,NA,NA,NA
1014,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/16/2002,7,NA,962,NA,NA,NA,NA,NA,NA,NA,NA
1017,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/16/2002,7,NA,1431,NA,NA,NA,NA,NA,NA,NA,NA
1019,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/16/2002,7,NA,1447,NA,NA,NA,NA,NA,NA,NA,NA
1020,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/16/2002,7,NA,1467,NA,NA,NA,NA,NA,NA,NA,NA
1022,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/16/2002,7,NA,1444,NA,NA,NA,NA,NA,NA,NA,NA
1023,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/16/2002,7,NA,1444,NA,NA,NA,NA,NA,NA,NA,NA
1024,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/16/2002,7,NA,1434,NA,NA,NA,NA,NA,NA,NA,NA
1025,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/16/2002,7,NA,1436,NA,NA,NA,NA,NA,NA,NA,NA
1026,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,7/16/2002,7,NA,1434,NA,NA,NA,NA,NA,NA,NA,NA
1027,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/16/2002,7,NA,1434,NA,NA,NA,NA,NA,NA,NA,NA
1028,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,7/16/2002,7,NA,1417,NA,NA,NA,NA,NA,NA,NA,NA
1029,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/16/2002,7,NA,1443,NA,NA,NA,NA,NA,NA,NA,NA
1030,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/16/2002,7,NA,1439,NA,NA,NA,NA,NA,NA,NA,NA
1031,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,R19,Val Vista WTP treated water,srp,val vista-treated,7/16/2002,7,NA,1291,NA,NA,NA,NA,NA,NA,NA,NA
1033,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/16/2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/16/2002,7,NA,1436,NA,NA,NA,NA,NA,NA,NA,NA
1035,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/16/2002,7,NA,1269,NA,NA,NA,NA,NA,NA,NA,NA
1036,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/16/2002,7,NA,1288,NA,NA,NA,NA,NA,NA,NA,NA
1037,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/16/2002,7,NA,1309,NA,NA,NA,NA,NA,NA,NA,NA
1038,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/16/2002,7,NA,1008,0.28,NA,NA,NA,NA,NA,NA,NA
1039,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/16/2002,7,NA,982,0,NA,NA,NA,NA,NA,NA,NA
1040,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/16/2002,7,NA,631,7.12,NA,NA,NA,NA,NA,NA,NA
1041,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/16/2002,7,NA,644,0,NA,NA,NA,NA,NA,NA,NA
1042,R9A,Saguaro Lake near inlet,srp,saguaro-epi,7/16/2002,7,NA,1850,10.68,NA,NA,NA,NA,NA,NA,NA
1043,R9A-Dup,Saguaro Lake near inlet,srp,saguaro-epi,7/16/2002,7,NA,1860,10.73,NA,NA,NA,NA,NA,NA,NA
1044,R9B,Saguaro Lake near inlet,srp,saguaro-hypo,7/16/2002,7,NA,1867,2.23,NA,NA,NA,NA,NA,NA,NA
1045,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/22/2002,7,NA,967,NA,NA,NA,NA,NA,NA,NA,NA
1046,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/22/2002,7,NA,977,NA,NA,NA,NA,NA,NA,NA,NA
1047,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/22/2002,7,NA,965,NA,NA,NA,NA,NA,NA,NA,NA
1048,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/22/2002,7,NA,1736,NA,NA,NA,NA,NA,NA,NA,NA
1049,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/22/2002,7,NA,1234,NA,NA,NA,NA,NA,NA,NA,NA
1050,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/22/2002,7,NA,1239,NA,NA,NA,NA,NA,NA,NA,NA
1051,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/22/2002,7,NA,1235,NA,NA,NA,NA,NA,NA,NA,NA
1052,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/22/2002,7,NA,1226,NA,NA,NA,NA,NA,NA,NA,NA
1053,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/22/2002,7,NA,1161,NA,NA,NA,NA,NA,NA,NA,NA
1054,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/22/2002,7,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA
1055,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/22/2002,7,NA,1154,NA,NA,NA,NA,NA,NA,NA,NA
1056,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/22/2002,7,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA
1057,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,7/22/2002,7,NA,1165,NA,NA,NA,NA,NA,NA,NA,NA
1058,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/22/2002,7,NA,1148,NA,NA,NA,NA,NA,NA,NA,NA
1059,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,7/22/2002,7,NA,1154,NA,NA,NA,NA,NA,NA,NA,NA
1060,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/22/2002,7,NA,1161,NA,NA,NA,NA,NA,NA,NA,NA
1061,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/22/2002,7,NA,1232,NA,NA,NA,NA,NA,NA,NA,NA
1062,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/22/2002,7,NA,1407,NA,NA,NA,NA,NA,NA,NA,NA
1063,R19,Val Vista WTP treated water,srp,val vista-treated,7/22/2002,7,NA,1378,NA,NA,NA,NA,NA,NA,NA,NA
1064,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/22/2002,7,NA,1160,NA,NA,NA,NA,NA,NA,NA,NA
1065,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/22/2002,7,NA,1174,NA,NA,NA,NA,NA,NA,NA,NA
1066,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/22/2002,7,NA,1309,NA,NA,NA,NA,NA,NA,NA,NA
1067,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/22/2002,7,NA,1304,NA,NA,NA,NA,NA,NA,NA,NA
1068,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/22/2002,7,NA,1331,NA,NA,NA,NA,NA,NA,NA,NA
1069,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/29/2002,7,NA,965,NA,NA,NA,NA,NA,NA,NA,NA
1070,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/29/2002,7,NA,975,NA,NA,NA,NA,NA,NA,NA,NA
1071,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/29/2002,7,NA,965,NA,NA,NA,NA,NA,NA,NA,NA
1072,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/29/2002,7,NA,1642,NA,NA,NA,NA,NA,NA,NA,NA
1073,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/29/2002,7,NA,1160,NA,NA,NA,NA,NA,NA,NA,NA
1074,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/29/2002,7,NA,1170,NA,NA,NA,NA,NA,NA,NA,NA
1075,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/29/2002,7,NA,1175,NA,NA,NA,NA,NA,NA,NA,NA
1076,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/29/2002,7,NA,1159,NA,NA,NA,NA,NA,NA,NA,NA
1077,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/29/2002,7,NA,1145,NA,NA,NA,NA,NA,NA,NA,NA
1078,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/29/2002,7,NA,1125,NA,NA,NA,NA,NA,NA,NA,NA
1079,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/29/2002,7,NA,1129,NA,NA,NA,NA,NA,NA,NA,NA
1080,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/29/2002,7,NA,1151,NA,NA,NA,NA,NA,NA,NA,NA
1081,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,7/29/2002,7,NA,1126,NA,NA,NA,NA,NA,NA,NA,NA
1082,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/29/2002,7,NA,1131,NA,NA,NA,NA,NA,NA,NA,NA
1083,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,7/29/2002,7,NA,1130,NA,NA,NA,NA,NA,NA,NA,NA
1084,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/29/2002,7,NA,1139,NA,NA,NA,NA,NA,NA,NA,NA
1085,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/29/2002,7,NA,1178,NA,NA,NA,NA,NA,NA,NA,NA
1086,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/29/2002,7,NA,1293,NA,NA,NA,NA,NA,NA,NA,NA
1087,R19,Val Vista WTP treated water,srp,val vista-treated,7/29/2002,7,NA,1286,NA,NA,NA,NA,NA,NA,NA,NA
1088,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/29/2002,7,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA
1089,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/29/2002,7,NA,1151,NA,NA,NA,NA,NA,NA,NA,NA
1090,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/29/2002,7,NA,1242,NA,NA,NA,NA,NA,NA,NA,NA
1091,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/29/2002,7,NA,1284,NA,NA,NA,NA,NA,NA,NA,NA
1092,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/29/2002,7,NA,1301,NA,NA,NA,NA,NA,NA,NA,NA
1093,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/5/2002,8,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
1094,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/5/2002,8,NA,986,NA,NA,NA,NA,NA,NA,NA,NA
1095,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/5/2002,8,NA,971,NA,NA,NA,NA,NA,NA,NA,NA
1096,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/5/2002,8,NA,1738,NA,NA,NA,NA,NA,NA,NA,NA
1097,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/5/2002,8,NA,1385,NA,NA,NA,NA,NA,NA,NA,NA
1098,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/5/2002,8,NA,1437,NA,NA,NA,NA,NA,NA,NA,NA
1099,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,8/5/2002,8,NA,1398,NA,NA,NA,NA,NA,NA,NA,NA
1100,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/5/2002,8,NA,1437,NA,NA,NA,NA,NA,NA,NA,NA
1101,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,8/5/2002,8,NA,1430,NA,NA,NA,NA,NA,NA,NA,NA
1102,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/5/2002,8,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA
1103,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/5/2002,8,NA,1387,NA,NA,NA,NA,NA,NA,NA,NA
1104,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/5/2002,8,NA,1424,NA,NA,NA,NA,NA,NA,NA,NA
1105,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,8/5/2002,8,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA
1106,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/5/2002,8,NA,1407,NA,NA,NA,NA,NA,NA,NA,NA
1107,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,8/5/2002,8,NA,1425,NA,NA,NA,NA,NA,NA,NA,NA
1108,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/5/2002,8,NA,1419,NA,NA,NA,NA,NA,NA,NA,NA
