ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,TOC,DOC,UVA,SUVA,PeakInt,PeakIntWL,Intat450,Intat460,Intat500,Fl,docm_comments
2061,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/21/2003,7,NA,NA,3.78,0.06,1.6,NA,NA,NA,NA,NA,NA,NA
2062,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/21/2003,7,NA,NA,3.15,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
2063,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/21/2003,7,NA,NA,4.14,0.09,2.2,NA,NA,NA,NA,NA,NA,NA
2064,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/21/2003,7,NA,NA,3.62,0.06,1.8,NA,NA,NA,NA,NA,NA,NA
2065,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/21/2003,7,NA,NA,3.9,0.07,2,NA,NA,NA,NA,NA,NA,NA
2066,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/21/2003,7,NA,NA,3.25,0.05,1.7,NA,NA,NA,NA,NA,NA,NA
2067,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/21/2003,7,NA,NA,3.74,0.07,2,NA,NA,NA,NA,NA,NA,NA
2068,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/21/2003,7,NA,NA,3.51,0.06,1.9,NA,NA,NA,NA,NA,NA,NA
2069,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/21/2003,7,NA,NA,3.9,0.08,2.3,NA,NA,NA,NA,NA,NA,NA
2070,R19,Val Vista WTP treated water,srp,val vista-treated,7/21/2003,7,NA,NA,3.44,0.07,2.1,NA,NA,NA,NA,NA,NA,NA
2071,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/21/2003,7,NA,NA,3.82,0.07,1.9,NA,NA,NA,NA,NA,NA,NA
2072,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/21/2003,7,NA,NA,3.88,0.07,2,NA,NA,NA,NA,NA,NA,NA
2073,R25,verde river at beeline highway,verde,verde @ beeline,7/21/2003,7,NA,NA,4.33,0.12,2.8,NA,NA,NA,NA,NA,NA,NA
2074,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/21/2003,7,NA,NA,3.68,0.06,1.9,NA,NA,NA,NA,NA,NA,NA
2075,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/21/2003,7,NA,NA,3.75,0.07,2,NA,NA,NA,NA,NA,NA,NA
2076,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/21/2003,7,NA,NA,3.01,0.04,1.4,NA,NA,NA,NA,NA,NA,NA
2077,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/21/2003,7,NA,NA,2.87,0.02,0.8,NA,NA,NA,NA,NA,NA,NA
2078,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/21/2003,7,NA,NA,3.88,0.08,2.1,NA,NA,NA,NA,NA,NA,NA
2079,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/21/2003,7,NA,NA,3.5,0.05,1.4,NA,NA,NA,NA,NA,NA,NA
2080,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/21/2003,7,NA,NA,4.41,0.09,2.2,NA,NA,NA,NA,NA,NA,NA
2081,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/21/2003,7,NA,NA,3.68,0.08,2.3,NA,NA,NA,NA,NA,NA,NA
2082,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/21/2003,7,NA,NA,2.33,0.04,2.1,NA,NA,NA,NA,NA,NA,NA
2083,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/21/2003,7,NA,NA,2.33,0.02,1.1,NA,NA,NA,NA,NA,NA,NA
2084,Green In,Greenway WTP Inlet,srp,Green In,7/21/2003,7,NA,NA,3.26,0.06,2,NA,NA,NA,NA,NA,NA,NA
2085,Green Out,Greenway WTP Outlet,srp,Green Out,7/21/2003,7,NA,NA,2.54,0.02,1.1,NA,NA,NA,NA,NA,NA,NA
2086,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2087,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2088,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2092,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,R20,Verde River at Tangle,verde,verde abv horseshoe,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2094,Havasu 1,Havasu lake Sample,NA,Havasu 1,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095,Havasu 2,Havasu lake Sample,NA,Havasu 2,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2096,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2097,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2098,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2099,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2101,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2102,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2103,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2104,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/21/2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2105,R3,Waddell Canal,cap,waddell canal,7/28/2003,7,NA,NA,3.1,0.04,1.5,NA,NA,NA,NA,NA,NA,NA
2106,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/28/2003,7,NA,NA,3.81,0.06,1.7,NA,NA,NA,NA,NA,NA,NA
2107,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/28/2003,7,NA,NA,3.23,0.04,1.4,NA,NA,NA,NA,NA,NA,NA
2108,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/28/2003,7,NA,NA,3.78,0.07,2,NA,NA,NA,NA,NA,NA,NA
2109,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/28/2003,7,NA,NA,3.63,0.06,1.8,NA,NA,NA,NA,NA,NA,NA
2110,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/28/2003,7,NA,NA,3.38,0.05,1.6,NA,NA,NA,NA,NA,NA,NA
2111,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/28/2003,7,NA,NA,2.61,0.03,1.3,NA,NA,NA,NA,NA,NA,NA
2112,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/28/2003,7,NA,NA,3.29,0.05,1.6,NA,NA,NA,NA,NA,NA,NA
2113,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/28/2003,7,NA,NA,2.38,0.03,1.3,NA,NA,NA,NA,NA,NA,NA
1427,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/28/2002,10,NA,NA,2.42,0.05,2.1,NA,NA,NA,NA,NA,NA,NA
1428,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/28/2002,10,NA,NA,2.32,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1429,Cons,Head of the Tempe Canal,tempe,head of tempe canal,10/28/2002,10,NA,NA,2,0.03,1.9,NA,NA,NA,NA,NA,NA,NA
1430,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/28/2002,10,NA,NA,0.85,0.01,2.1,NA,NA,NA,NA,NA,NA,NA
1431,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/28/2002,10,NA,NA,0.46,0.007,1.5,NA,NA,NA,NA,NA,NA,NA
1432,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/30/2002,10,NA,4.02,3.82,0.04,1.2,NA,NA,NA,NA,NA,NA,NA
1433,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/30/2002,10,NA,3.87,3.69,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
1434,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/30/2002,10,NA,2.43,2.32,0.04,2.1,NA,NA,NA,NA,NA,NA,NA
1435,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/30/2002,10,NA,2.58,2.27,0.04,2.2,NA,NA,NA,NA,NA,NA,NA
1436,R9A,Saguaro Lake near inlet,srp,saguaro-epi,10/30/2002,10,NA,3.74,3.65,0.06,1.6,NA,NA,NA,NA,NA,NA,NA
1437,R9A-Dup,Saguaro Lake near inlet,srp,saguaro-epi,10/30/2002,10,NA,4.23,4.17,0.06,1.5,NA,NA,NA,NA,NA,NA,NA
1438,R9B,Saguaro Lake near inlet,srp,saguaro-hypo,10/30/2002,10,NA,5.89,5.1,0.06,1.2,NA,NA,NA,NA,NA,NA,NA
1439,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/4/2002,11,NA,NA,3.35,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
1440,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/4/2002,11,NA,NA,3.03,0.02,0.7,NA,NA,NA,NA,NA,NA,NA
1441,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/4/2002,11,NA,NA,3.39,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
1442,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/4/2002,11,NA,NA,1.87,0.04,2.2,NA,NA,NA,NA,NA,NA,NA
1443,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/4/2002,11,NA,NA,2.71,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1444,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/4/2002,11,NA,NA,2.73,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1445,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/4/2002,11,NA,NA,2.71,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1446,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/4/2002,11,NA,NA,2.88,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1447,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/4/2002,11,NA,NA,2.7,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1448,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/4/2002,11,NA,NA,2.8,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1449,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/4/2002,11,NA,NA,2.73,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1450,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/4/2002,11,NA,NA,1.77,0.02,1.3,NA,NA,NA,NA,NA,NA,NA
1451,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,11/4/2002,11,NA,NA,2.47,0.04,1.7,NA,NA,NA,NA,NA,NA,NA
1452,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/4/2002,11,NA,NA,2.41,0.04,1.7,NA,NA,NA,NA,NA,NA,NA
1453,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,11/4/2002,11,NA,NA,2.46,0.04,1.8,NA,NA,NA,NA,NA,NA,NA
1454,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/4/2002,11,NA,NA,2.5,0.04,1.7,NA,NA,NA,NA,NA,NA,NA
1455,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/4/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/4/2002,11,NA,NA,3.03,0.04,1.4,NA,NA,NA,NA,NA,NA,NA
1457,R19,Val Vista WTP treated water,srp,val vista-treated,11/4/2002,11,NA,NA,2.53,0.02,1.2,NA,NA,NA,NA,NA,NA,NA
1458,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/4/2002,11,NA,NA,2.38,0.04,1.9,NA,NA,NA,NA,NA,NA,NA
1459,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/4/2002,11,NA,NA,2.16,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1460,Cons,Head of the Tempe Canal,tempe,head of tempe canal,11/4/2002,11,NA,NA,1.56,0.02,1.6,NA,NA,NA,NA,NA,NA,NA
1461,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/4/2002,11,NA,NA,0.73,0.01,1.6,NA,NA,NA,NA,NA,NA,NA
1462,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/4/2002,11,NA,NA,0.65,0.0065,1,NA,NA,NA,NA,NA,NA,NA
1463,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/12/2002,11,NA,NA,2.68,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1464,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/12/2002,11,NA,NA,2.59,0.02,0.8,NA,NA,NA,NA,NA,NA,NA
1465,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/12/2002,11,NA,NA,2.82,0.03,1.3,NA,NA,NA,NA,NA,NA,NA
1466,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/12/2002,11,NA,NA,1.66,0.03,2.2,NA,NA,NA,NA,NA,NA,NA
1467,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/12/2002,11,NA,NA,2.22,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1468,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/12/2002,11,NA,NA,2.19,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1469,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/12/2002,11,NA,NA,2.2,0.04,1.8,NA,NA,NA,NA,NA,NA,NA
1470,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/12/2002,11,NA,NA,2.17,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1471,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/12/2002,11,NA,NA,2.22,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1472,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/12/2002,11,NA,NA,2.1,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1473,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/12/2002,11,NA,NA,2.56,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1474,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/12/2002,11,NA,NA,1.82,0.02,1.3,NA,NA,NA,NA,NA,NA,NA
1475,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,11/12/2002,11,NA,NA,2.24,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1476,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/12/2002,11,NA,NA,2.31,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1477,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,11/12/2002,11,NA,NA,2.47,0.04,1.7,NA,NA,NA,NA,NA,NA,NA
1478,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/12/2002,11,NA,NA,2.31,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1479,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/12/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/12/2002,11,NA,NA,2.1,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1481,R19,Val Vista WTP treated water,srp,val vista-treated,11/12/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/12/2002,11,NA,NA,2.35,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1483,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/12/2002,11,NA,NA,2.24,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1484,Cons,Head of the Tempe Canal,tempe,head of tempe canal,11/12/2002,11,NA,NA,1.56,0.02,1.9,NA,NA,NA,NA,NA,NA,NA
1485,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/12/2002,11,NA,NA,0.67,0.01,1.5,NA,NA,NA,NA,NA,NA,NA
1486,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/12/2002,11,NA,NA,0.74,0.0056,0.8,NA,NA,NA,NA,NA,NA,NA
1487,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/13/2002,11,NA,3.63,3.77,0.04,1.2,NA,NA,NA,NA,NA,NA,NA
1488,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/13/2002,11,NA,3.45,3.96,0.04,1.2,NA,NA,NA,NA,NA,NA,NA
1489,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/13/2002,11,NA,2.52,2.59,0.04,1.7,NA,NA,NA,NA,NA,NA,NA
1490,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/13/2002,11,NA,2.39,2.68,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
1491,R9A,Saguaro Lake near inlet,srp,saguaro-epi,11/13/2002,11,NA,3.79,3.99,0.05,1.4,NA,NA,NA,NA,NA,NA,NA
1492,R9A-Dup,Saguaro Lake near inlet,srp,saguaro-epi,11/13/2002,11,NA,4.01,4.26,0.05,1.3,NA,NA,NA,NA,NA,NA,NA
1493,R9B,Saguaro Lake near inlet,srp,saguaro-hypo,11/13/2002,11,NA,4.43,5.02,0.05,1.1,NA,NA,NA,NA,NA,NA,NA
1494,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/18/2002,11,NA,NA,2.77,0.03,1.3,NA,NA,NA,NA,NA,NA,NA
1495,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/18/2002,11,NA,NA,2.55,0.02,0.8,NA,NA,NA,NA,NA,NA,NA
1496,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/18/2002,11,NA,NA,2.85,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1497,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/18/2002,11,NA,NA,1.59,0.03,2.1,NA,NA,NA,NA,NA,NA,NA
1498,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/18/2002,11,NA,NA,2.26,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1499,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/18/2002,11,NA,NA,2.23,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1500,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/18/2002,11,NA,NA,2.1,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1501,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/18/2002,11,NA,NA,2.17,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1502,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/18/2002,11,NA,NA,2.14,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1503,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/18/2002,11,NA,NA,2.1,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1504,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/18/2002,11,NA,NA,2.21,0.03,1.5,NA,NA,NA,NA,NA,NA,NA
1505,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/18/2002,11,NA,NA,1.62,0.02,1.2,NA,NA,NA,NA,NA,NA,NA
1506,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,11/18/2002,11,NA,NA,2.22,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1507,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/18/2002,11,NA,NA,2.23,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1508,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,11/18/2002,11,NA,NA,2.29,0.03,1.5,NA,NA,NA,NA,NA,NA,NA
1509,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/18/2002,11,NA,NA,2.11,0.03,1.5,NA,NA,NA,NA,NA,NA,NA
1510,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/18/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1511,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/18/2002,11,NA,NA,2.42,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1512,R19,Val Vista WTP treated water,srp,val vista-treated,11/18/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1513,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/18/2002,11,NA,NA,2.26,0.03,1.6,NA,NA,NA,NA,NA,NA,NA
1514,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/18/2002,11,NA,NA,1.85,0.02,1.4,NA,NA,NA,NA,NA,NA,NA
1515,Cons,Head of the Tempe Canal,tempe,head of tempe canal,11/18/2002,11,NA,NA,2.42,0.03,1.5,NA,NA,NA,NA,NA,NA,NA
1516,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/18/2002,11,NA,NA,0.76,0.0099,1.3,NA,NA,NA,NA,NA,NA,NA
1517,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/18/2002,11,NA,NA,0.69,0.0048,0.7,NA,NA,NA,NA,NA,NA,NA
1518,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/25/2002,11,NA,NA,2.73,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1519,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/25/2002,11,NA,NA,2.82,0.02,0.8,NA,NA,NA,NA,NA,NA,NA
1520,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/25/2002,11,NA,NA,2.8,0.03,1.4,NA,NA,NA,NA,NA,NA,NA
1521,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/25/2002,11,NA,NA,1.56,0.03,2.4,NA,NA,NA,NA,NA,NA,NA
1522,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/25/2002,11,NA,NA,2.2,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1523,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/25/2002,11,NA,NA,2.17,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1524,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/25/2002,11,NA,NA,2.12,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1525,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/25/2002,11,NA,NA,2.21,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1526,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/25/2002,11,NA,NA,2.14,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1527,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/25/2002,11,NA,NA,2.18,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1528,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/25/2002,11,NA,NA,2.24,0.04,1.8,NA,NA,NA,NA,NA,NA,NA
1529,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/25/2002,11,NA,NA,1.55,0.01,1.3,NA,NA,NA,NA,NA,NA,NA
1530,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,11/25/2002,11,NA,NA,2.17,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1531,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/25/2002,11,NA,NA,2.17,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1532,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,11/25/2002,11,NA,NA,2.31,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1533,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/25/2002,11,NA,NA,2.18,0.03,1.8,NA,NA,NA,NA,NA,NA,NA
1534,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/25/2002,11,NA,NA,1.76,0.02,1.4,NA,NA,NA,NA,NA,NA,NA
1535,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/25/2002,11,NA,NA,1.94,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
1536,R19,Val Vista WTP treated water,srp,val vista-treated,11/25/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1537,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/25/2002,11,NA,NA,2.24,0.04,1.8,NA,NA,NA,NA,NA,NA,NA
1538,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/25/2002,11,NA,NA,1.75,0.01,0.9,NA,NA,NA,NA,NA,NA,NA
1539,Cons,Head of the Tempe Canal,tempe,head of tempe canal,11/25/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1540,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/25/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1541,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/25/2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1542,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/25/2002,11,NA,3.38,3.44,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
1543,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/25/2002,11,NA,3.82,4.11,0.05,1.2,NA,NA,NA,NA,NA,NA,NA
